,0
5718,0.0
5719,0.0080698113608062
5720,-0.0
5721,0.0
5722,0.0
5723,0.004911297247772284
5724,-0.0
5725,0.005674071915602763
5726,0.0006063147249422141
5727,0.0
5728,-0.0
5729,0.005369640639532269
5730,0.012218402797257055
5731,-0.0006339851116368145
5732,0.003961667425025794
5733,-0.0
5734,-0.0
5735,0.0
5736,-0.0
5737,-0.005918044289542568
5738,-0.00017495332146921783
5739,0.0
5740,0.0
5741,-0.0
5742,0.0
5743,0.0
5744,0.0
5745,0.0
5746,0.0
5747,0.0
5748,-0.0
5749,0.0
5750,-0.0
5751,-0.0
5752,-0.0
5753,0.0
5754,0.0
5755,-0.0
5756,0.020300579195667856
5757,0.0231440241048394
5758,0.016694704708247854
5759,-0.007278792413552226
5760,0.0
5761,0.0
5762,-0.0
5763,-0.0
5764,0.0
5765,0.008753390175306519
5766,0.0
5767,0.026009667549379722
5768,-0.0
5769,-0.0
5770,-0.0
5771,0.01565308674857746
5772,0.0
5773,0.0
5774,0.0
5775,-0.03565090758400291
5776,0.04781150082106367
5777,0.0
5778,-0.0
5779,0.0
5780,-0.0
5781,-0.023934041014613827
5782,0.0
5783,-0.0
5784,-0.0
5785,-0.0
5786,-0.0
5787,0.0
5788,-0.0
5789,-0.0
5790,0.0
5791,-0.014371162963877637
5792,-0.0
5793,0.017063683765120796
5794,-0.0
5795,0.0
5796,0.0
5797,-0.0
5798,0.0
5799,0.0
5800,-0.004876354165708641
5801,-0.0006879647103699149
5802,-0.0
5803,-0.0
5804,0.0
5805,0.0
5806,-0.0
5807,-0.0
5808,-0.0
5809,0.0
5810,-0.0026327755788833063
5811,-0.022309130871352334
5812,-0.0
5813,0.0
5814,-0.0
5815,-0.0002462156117754022
5816,-0.0
5817,-0.0
5818,0.0
5819,-0.0
5820,-0.0
5821,0.0
5822,0.0
5823,0.0
5824,-0.0
5825,-0.0
5826,0.0
5827,-0.004974523613892834
5828,0.0
5829,0.005648397559232521
5830,0.0
5831,-0.0
5832,0.0
5833,-0.0
5834,0.0
5835,0.0
5836,0.0
5837,0.0
5838,0.0
5839,-0.0
5840,-0.0
5841,-0.0
5842,-0.0
5843,-0.0
5844,-0.005480435306181475
5845,0.0
5846,-0.04535341338459742
5847,-0.016663765527521024
5848,-0.01328646913372833
5849,-0.0
5850,-0.0
5851,0.01548765420157494
5852,0.011167241760804636
5853,-0.0
5854,0.010985145086608306
5855,0.0
5856,0.0
5857,-0.0
5858,0.02891310180364781
5859,0.0
5860,0.0
5861,0.0
5862,-0.0
5863,-0.0
