,ic
342,0.054505005561735265
343,0.047830923248053395
344,0.10567296996662959
345,0.27519466073414905
346,0.16262513904338155
347,0.11234705228031144
348,0.1839822024471635
349,0.2671857619577308
350,0.22803114571746386
351,0.24760845383759733
352,0.2765294771968854
353,0.3067853170189099
354,0.30634037819799775
355,0.3659621802002225
356,0.2996662958843159
357,0.23737486095661847
358,0.2293659621802002
359,0.1546162402669633
360,0.2289210233592881
361,0.1911012235817575
362,0.2204671857619577
363,0.28987764182424913
364,0.33704115684093433
365,0.3027808676307008
366,0.2520578420467186
367,0.2516129032258065
368,0.2800889877641824
369,0.2765294771968854
370,0.2609566184649611
371,0.2502780867630701
372,0.21067853170189096
373,0.22447163515016688
374,0.20578420467185762
375,0.12124582869855395
376,0.08342602892102337
377,0.14349276974416017
378,0.11190211345939934
379,0.11056729699666296
380,0.03670745272525028
381,0.09899888765294772
382,0.12525027808676306
383,0.12614015572858733
384,0.13681868743047831
385,0.11056729699666296
386,0.12347052280311456
387,0.10211345939933258
388,0.08476084538375972
389,0.10611790878754171
390,0.09499443826473859
391,0.15417130144605118
392,0.11813125695216908
393,0.026918798665183537
394,-0.1385984427141268
395,-0.2307007786429366
396,-0.21334816462736375
397,-0.23648498331479423
398,-0.2582869855394883
399,-0.17152391546162402
400,-0.17330367074527253
401,-0.0932146829810901
402,0.029588431590656286
403,-0.012235817575083427
404,-0.1292547274749722
405,-0.035817575083426034
406,0.061179087875417135
407,0.13948832035595105
408,0.005561735261401557
409,0.01846496106785317
410,0.07007786429365963
411,0.09632925472747497
412,0.01268075639599555
413,-0.071412680756396
414,-0.0371523915461624
415,0.0006674082313681868
416,-0.05228031145717464
417,-0.04916573971078977
418,-0.05628476084538376
419,-0.033592880978865404
420,-0.08520578420467186
421,-0.1604004449388209
422,-0.19288097886540603
423,-0.19688542825361513
424,-0.13103448275862067
425,-0.0389321468298109
426,-0.04471635150166852
427,0.03181312569521691
428,0.030033370411568408
429,0.0002224694104560623
430,-0.005561735261401557
431,0.014905450500556172
432,0.03181312569521691
433,0.05494994438264739
434,0.06251390433815351
435,0.12302558398220245
436,0.10656284760845385
437,0.00867630700778643
438,0.07185761957730812
439,0.030923248053392655
440,-0.013125695216907676
441,-0.0825361512791991
442,-0.09543937708565071
443,0.021579532814238044
444,-0.025583982202447165
445,-0.10611790878754171
446,0.05939933259176862
447,-0.05094549499443826
448,-0.13993325917686317
449,-0.24360400444938823
450,-0.2827586206896551
451,-0.1439377085650723
452,-0.03270300333704116
453,-0.045606229143492764
454,-0.01268075639599555
455,-0.06829810901001113
456,-0.14616240266963293
457,-0.17018909899888765
458,-0.22402669632925473
459,-0.2525027808676307
460,-0.24849833147942155
461,-0.2765294771968854
462,-0.2609566184649611
463,-0.31078976640711903
464,-0.2756395995550612
465,-0.19510567296996661
466,-0.1243604004449388
467,-0.08209121245828699
468,-0.1403781979977753
469,-0.182202447163515
470,-0.17152391546162402
471,-0.1586206896551724
472,-0.05494994438264739
473,0.04961067853170189
474,0.030033370411568408
475,0.01668520578420467
476,0.011790878754171301
477,-0.03759733036707453
478,-0.04293659621802002
479,-0.03759733036707453
480,-0.09410456062291435
481,-0.05139043381535039
482,-0.08743047830923248
483,-0.05361512791991101
484,0.02736373748609566
485,0.001557285873192436
486,0.010901001112347052
487,0.0002224694104560623
488,-0.07230255839822024
489,-0.17908787541713014
490,-0.06785317018909899
491,-0.16262513904338155
492,-0.16307007786429364
493,-0.0731924360400445
494,-0.11190211345939934
495,-0.21423804226918797
496,-0.16484983314794216
497,-0.11590656284760845
498,-0.07452725250278086
499,-0.06963292547274749
500,-0.03937708565072302
501,0.00689655172413793
502,0.0353726362625139
503,0.02202447163515017
504,0.08609566184649611
505,0.046496106785317015
506,0.05094549499443826
507,0.17063403781979977
508,0.13904338153503895
509,0.10834260289210233
510,0.14260289210233593
511,0.09766407119021134
512,0.07986651835372637
513,-0.0033370411568409346
514,0.011345939933259176
515,0.027808676307007785
516,0.02736373748609566
517,-0.0064516129032258064
518,0.08698553948832036
519,0.14972191323692993
520,0.08832035595105672
521,0.19510567296996661
522,0.10478309232480533
523,0.10211345939933258
524,0.021579532814238044
525,0.0460511679644049
526,0.14171301446051168
527,0.12080088987764183
528,0.09855394883203561
529,0.13904338153503895
530,0.1421579532814238
531,0.17196885428253617
532,0.16974416017797553
533,0.09810901001112346
534,0.1546162402669633
535,0.1439377085650723
536,0.23515016685205786
537,0.18175750834260287
538,0.23114571746384868
539,0.196440489432703
540,0.057174638487208
541,0.09944382647385984
542,0.17152391546162402
543,0.2
544,0.18131256952169075
545,0.16173526140155728
546,0.14171301446051168
547,0.11679644048943269
548,0.12747497219132367
549,0.07808676307007786
550,0.09365962180200223
551,0.196440489432703
552,0.2609566184649611
553,0.29343715239154616
554,0.1897664071190211
555,0.15906562847608455
556,0.18086763070077863
557,0.22625139043381537
558,0.20088987764182425
559,0.09543937708565071
560,0.12480533926585094
561,0.12880978865406006
562,0.09543937708565071
563,0.15639599555061176
564,0.11412680756395997
565,0.09543937708565071
566,0.03759733036707453
567,0.04382647385984427
568,0.14304783092324808
569,0.13592880978865407
570,0.28409343715239155
571,0.2520578420467186
572,0.14660734149054505
573,0.13014460511679646
574,0.09499443826473859
575,0.023359288097886538
576,0.020689655172413793
577,0.04293659621802002
578,0.05494994438264739
579,0.08209121245828699
580,0.071412680756396
581,0.13192436040044492
582,0.12080088987764183
583,0.064293659621802
584,0.12614015572858733
585,0.17063403781979977
586,0.1421579532814238
587,0.14838709677419354
588,0.2
589,0.2703003337041157
590,0.3196885428253615
591,0.35350389321468295
592,0.32146829810900995
593,0.33704115684093433
594,0.3236929922135706
595,0.23292547274749723
596,0.1804226918798665
597,0.21067853170189096
598,0.13058954393770855
599,0.0353726362625139
600,-0.071412680756396
601,-0.14705228031145717
602,-0.19733036707452725
603,-0.19510567296996661
604,-0.2053392658509455
605,-0.19243604004449388
606,-0.1292547274749722
607,-0.15150166852057842
608,-0.13993325917686317
609,-0.21913236929922134
610,-0.22091212458286985
611,-0.22402669632925473
612,-0.260511679644049
613,-0.12480533926585094
614,-0.09054505005561733
615,-0.1243604004449388
616,-0.06696329254727475
617,-0.08520578420467186
618,-0.09988876529477196
619,-0.02246941045606229
620,-0.071412680756396
621,-0.10745272525027807
622,-0.10611790878754171
623,-0.10255839822024472
624,-0.16662958843159065
625,-0.17597330367074526
626,-0.20266963292547271
627,-0.30856507230255836
628,-0.24849833147942155
629,-0.1132369299221357
630,-0.07452725250278086
631,0.06607341490545049
632,0.14972191323692993
633,0.0771968854282536
634,0.08520578420467186
635,0.10567296996662959
636,0.2088987764182425
637,0.2596218020022247
638,0.21067853170189096
639,0.2186874304783092
640,0.1604004449388209
641,0.08298109010011123
642,0.03537657158391035
643,-0.004227389057196835
644,-0.002002447448145869
